city,year,date,time,no2,pm10,pm25,datetime
Leeds,2017,03-11-2017,03:00:00,6.589826894,30.55326618,24.19081037,2017-11-03T03:00:00Z
Leeds,2017,03-11-2017,04:00:00,8.555543156,10.9222464,11.59522532,2017-11-03T04:00:00Z
Leeds,2017,03-11-2017,05:00:00,7.89145777,32.47343594,21.31113978,2017-11-03T05:00:00Z
Leeds,2017,03-11-2017,06:00:00,15.8670381,31.54648333,24.68133849,2017-11-03T06:00:00Z
Leeds,2017,03-11-2017,07:00:00,8.530435943,40.22247546,19.07464548,2017-11-03T07:00:00Z
Leeds,2017,03-11-2017,08:00:00,15.74865211,34.39152134,21.1830669,2017-11-03T08:00:00Z
Leeds,2017,03-11-2017,09:00:00,14.32794432,29.22811429,14.52277255,2017-11-03T09:00:00Z
Leeds,2017,03-11-2017,10:00:00,21.13633104,33.94873455,14.52008746,2017-11-03T10:00:00Z
Leeds,2017,03-11-2017,11:00:00,7.52241162,34.40302103,15.54267975,2017-11-03T11:00:00Z
Leeds,2017,03-11-2017,12:00:00,5.568372659,6.65166851,7.848940454,2017-11-03T12:00:00Z
Leeds,2017,03-11-2017,13:00:00,0,13.19723475,4.25721362,2017-11-03T13:00:00Z
Leeds,2017,03-11-2017,14:00:00,0,6.565010597,0.391266754,2017-11-03T14:00:00Z
Leeds,2017,03-11-2017,15:00:00,12.84460102,0,5.560550064,2017-11-03T15:00:00Z
Leeds,2017,03-11-2017,16:00:00,1.37155035,0,0,2017-11-03T16:00:00Z
Leeds,2017,03-11-2017,17:00:00,7.143558981,5.260516735,16.29828941,2017-11-03T17:00:00Z
Leeds,2017,03-11-2017,18:00:00,0,0,4.889810026,2017-11-03T18:00:00Z
Leeds,2017,03-11-2017,19:00:00,2.567437818,0,6.208496578,2017-11-03T19:00:00Z
Leeds,2017,03-11-2017,20:00:00,26.73554186,40.02229794,27.96377168,2017-11-03T20:00:00Z
Leeds,2017,03-11-2017,21:00:00,3.347188466,30.4797185,20.76283012,2017-11-03T21:00:00Z
Leeds,2017,03-11-2017,22:00:00,7.953831844,26.6947505,12.92028262,2017-11-03T22:00:00Z
Leeds,2017,03-11-2017,23:00:00,18.36774977,0.819244549,30.39344175,2017-11-03T23:00:00Z
Leeds,2017,04-11-2017,00:00:00,0,38.83986128,13.15947238,2017-11-04T00:00:00Z
Leeds,2017,04-11-2017,01:00:00,9.834848571,11.93434442,10.03893937,2017-11-04T01:00:00Z
Leeds,2017,04-11-2017,02:00:00,20.67682919,40.9292758,29.41836017,2017-11-04T02:00:00Z
Leeds,2017,04-11-2017,03:00:00,8.769530858,0,12.38283252,2017-11-04T03:00:00Z
Leeds,2017,04-11-2017,04:00:00,8.196908893,11.67683238,4.33905976,2017-11-04T04:00:00Z
Leeds,2017,04-11-2017,05:00:00,7.306086582,32.30135664,18.50922015,2017-11-04T05:00:00Z
Leeds,2017,04-11-2017,06:00:00,22.39947487,31.15513562,19.68934942,2017-11-04T06:00:00Z
Leeds,2017,04-11-2017,07:00:00,0,0,0,2017-11-04T07:00:00Z
Leeds,2017,04-11-2017,08:00:00,11.49241442,11.93093484,15.58569513,2017-11-04T08:00:00Z
Leeds,2017,04-11-2017,09:00:00,2.273546721,18.08680544,9.39436632,2017-11-04T09:00:00Z
Leeds,2017,04-11-2017,10:00:00,1.235995658,30.95390599,26.00336764,2017-11-04T10:00:00Z
Leeds,2017,04-11-2017,11:00:00,8.599087772,11.26094997,8.45350841,2017-11-04T11:00:00Z
Leeds,2017,04-11-2017,12:00:00,5.022314161,16.99773475,15.73141462,2017-11-04T12:00:00Z
Leeds,2017,04-11-2017,13:00:00,16.04300582,30.50507901,10.50243936,2017-11-04T13:00:00Z
Leeds,2017,04-11-2017,14:00:00,11.01831207,0.588638298,18.74587136,2017-11-04T14:00:00Z
Leeds,2017,04-11-2017,15:00:00,0.100497128,31.409787,11.54590068,2017-11-04T15:00:00Z
Leeds,2017,04-11-2017,16:00:00,11.11939505,15.1506409,16.85982106,2017-11-04T16:00:00Z
Leeds,2017,04-11-2017,17:00:00,12.06343494,16.09851831,15.42494373,2017-11-04T17:00:00Z
Leeds,2017,04-11-2017,18:00:00,0,33.45994772,19.12474461,2017-11-04T18:00:00Z
Leeds,2017,04-11-2017,19:00:00,6.257964081,0,0,2017-11-04T19:00:00Z
Leeds,2017,04-11-2017,20:00:00,7.45434843,48.81929735,29.55384525,2017-11-04T20:00:00Z
